TIME,C_1,C_2,C_3,C_4
0,0,0,2.37418074001379,0
0.1,1.99666833293656,0.624739615883479,3.11017144304665,0
0.2,3.97338661590122,1.24791770808535,10.7783030685607,0
0.3,5.91040413322679,1.86797665591999,14.7932261827599,0
0.4,7.78836684617301,2.48336663493827,18.8081687011576,0
0.5,9.58851077208406,3.09254949068154,22.6765268084507,0
0.6,11.2928494679007,3.69400258326674,28.7102731623629,0
0.7,12.8843537447538,4.28622259319314,32.8358928014394,0
0.8,14.3471218179905,4.86772927885813,31.0542252295598,0
0.9,15.6665381925497,5.43706917639038,35.5560438666069,10
1,16.8294196961579,5.99281923255254,33.3913144362756,10
1.1,17.8241472012287,6.53359036163324,37.3520708617868,10
1.2,18.6407817193445,7.05803091743794,35.5959749295583,10
1.3,19.2711637083439,7.56483007170049,32.134723574652,10
1.4,19.7089945997692,8.05272109047114,31.3566471729675,10
1.5,19.9498997320811,8.52048450029168,27.224329803695,10
1.6,19.9914720608301,8.96695113624403,25.1861626552855,10
1.7,19.8332962090494,9.39100506425366,18.8014747761048,10
1.8,19.4769526175639,9.79158637034354,12.8245129806331,10
1.9,18.9260017537483,10.1676938098672,10.5166877083633,10
2,18.1859485365136,10.5183873100987,6.99013943573606,10
2.1,17.2641873329775,10.8427903199252,-1.82542397701717,10
2.2,16.1699280763918,11.1400920007679,-5.85926033734171,10
2.3,14.9141042435344,11.4095492532565,-9.37815429945498,10
2.4,13.509263611023,11.6504885745903,-17.7922930820819,10
2.5,11.9694428820791,11.8623077419448,-17.7730212069546,10
2.6,10.3100274364293,12.0444773177149,-22.7534489531203,10
2.7,8.5475976046766,12.1965419728332,-27.304281152369,10
2.8,6.69976300311809,12.3181216248558,-32.0859373121467,10
2.9,4.78498658427964,12.4089123879699,-32.737096139451,10
3,2.82240016119734,12.4686873325507,-34.1243261171081,10
3.1,0.83161324866581,12.497297052367,-32.4606903033405,10
3.2,-1.1674828685516,12.4946700380188,-33.091502893801,10
3.3,-3.15491388286497,12.460812855674,-31.7045877305039,10
3.4,-5.11082204053663,12.3958101306559,-31.5088088365855,10
3.5,-7.0156645537924,12.2998243359242,-30.5452003259089,10
3.6,-8.85040886589705,12.1730953859774,-24.8718616335693,10
3.7,-10.5967228181699,12.0159400371912,-23.5259722765067,10
3.8,-12.2371578188544,11.8287510960927,-20.6150359326017,10
3.9,-13.7553231836795,11.6119964375484,-15.2102893818462,10
4,-15.1360499061586,11.366217835321,-8.75415506139846,10
4.1,-16.3655422212882,11.0920296079172,-4.35492163703533,10
4.2,-17.4315154482718,10.7901170831109,1.87164002142411,10
4.3,-18.3233187349891,10.4612348849812,8.28887899804976,10
4.4,-19.0320414777903,10.1062050477449,13.2161047448014,10
4.5,-19.5506023533019,9.72591496109901,15.9268781086024,10
4.6,-19.8738200726693,9.321315152209,22.5647424034456,10
4.7,-19.998465151282,8.89341690988555,22.362702468448,10
4.8,-19.9232921767168,8.44328975688938,25.5356167008714,10
4.9,-19.6490522524866,7.9720587766813,29.6700797039338,10
5,-19.1784854932628,7.48090180129946,33.2309583528294,10
5.1,-18.5162936465547,6.97104646739271,34.4291946557084,10
5.2,-17.6690931144031,6.44376714776831,36.9550575513769,10
5.3,-16.645348844478,5.90038176612353,35.0415343298679,10
5.4,-15.4552897511198,5.34224850292288,33.6060464338614,10
5.5,-14.1108065114078,4.77076240065415,32.5044822955586,0
5.6,-12.6253327574464,4.18735187694881,30.9730358120375,0
5.7,-11.0137108519528,3.5934751542818,24.4424140550632,0
5.8,-9.29204358827515,2.99061661517478,24.7085274631657,0
5.9,-7.47753329660474,2.38028309201284,17.240242152932,0
6,-5.58830996397852,1.76400010074834,14.3165193479758,0
6.1,-3.64325008544192,1.14330802790546,8.28083996487537,0
6.2,-1.66178805634995,0.519758280416137,3.70136326687152,0
6.3,0.336278009686994,-0.105090592089358,-0.0738532132009837,0
6.4,2.33098409700987,-0.729676792844751,-7.75339327553278,0
6.5,4.30239976175631,-1.35243918162635,-12.2892516745845,0
6.6,6.23082727026756,-1.9718211767906,-17.522647309567,0
6.7,8.09699841233195,-2.58627464591749,-22.0093486785849,0
6.8,9.88226702277216,-3.19426377533539,-25.3614158240241,0
6.9,11.568795287764,-3.79426890885537,-26.0547138021391,0
7,13.1397319743758,-4.38479034612025,-30.9338422739297,0
7.1,14.5793808025175,-4.9643520910745,-33.410990774117,0
7.2,15.8733572769831,-5.53150554118565,-35.93661067021,10
7.3,17.0087324125713,-6.08483310819624,-32.6190335355471,10
7.4,17.9741619162325,-6.62295176135617,-35.2720618981265,10
7.5,18.7599995354948,-7.1445164842793,-32.1508429304769,10
7.6,19.3583934406297,-7.64822363678399,-31.5998729126094,10
7.7,19.76336467754,-8.13281421331459,-30.3740467078592,10
7.8,19.9708669074921,-8.59707698979967,-24.7835166904807,10
7.9,19.9788268367954,-9.0398515510814,-21.5585488404454,10
8,19.7871649324676,-9.4600311913491,-18.9552807134426,10
8.1,19.3977962169017,-9.85656568032744,-12.5856491656153,10
8.2,18.8146111335955,-10.2284638883051,-7.22089201190249,10
8.3,18.0434366751259,-10.5747962634431,-4.41759223141185,10
8.4,17.0919781617656,-10.8946971551699,0.348453750850945,10
8.5,15.9697422524698,-11.1873669778573,6.87420523431592,10
8.6,14.6879419574823,-11.4520742093682,13.471559413352,10
8.7,13.2593846016437,-11.6881572194806,17.2851703274961,10
8.8,11.6983438578352,-11.895025923619,20.1098485251072,10
8.9,10.0204171291577,-12.072163257758,25.8797032612634,10
9,8.24236970483513,-12.2191264708137,30.4029688616628,10
9.1,6.38196724698704,-12.3355482312905,31.14225750228,10
9.2,4.45779828200495,-12.4211375454183,33.2298775923405,10
9.3,2.48908847014123,-12.475680484486,33.4442851636454,10
9.4,0.495508509067155,-12.4990407195513,32.8320014658,10
9.5,-1.50302240923619,-12.4911598621922,33.1873408754918,10
9.6,-3.48653562445959,-12.452057610448,31.7629668135781,10
9.7,-5.43521252821885,-12.3818316995839,31.8770213436811,10
9.8,-7.32958258503857,-12.2806576578042,27.1478016501415,10
9.9,-9.15071787550643,-12.1487883675228,28.5530548661224,10
10,-10.8804222177874,-11.9865534332892,23.4737831011646,10
