date open high low close adj close volume
Jun 25 2025,  201.42, 203.66, 200.62, 201.56, 201.56, 39014815
Jun 24 2025,  202.59, 203.44, 200.20, 200.30, 200.30, 54064000
Jun 23 2025,  201.63, 202.30, 198.96, 201.50, 201.50, 55814300
Jun 20 2025,  198.24, 201.70, 196.86, 201.00, 201.00, 96813500
Jun 18 2025,  195.94, 197.57, 195.07, 196.58, 196.58, 45394700
Jun 17 2025,  197.20, 198.39, 195.21, 195.64, 195.64, 38856200
Jun 16 2025,  197.30, 198.69, 196.56, 198.42, 198.42, 43020700
Jun 13 2025,  199.73, 200.37, 195.70, 196.45, 196.45, 51447300
Jun 12 2025,  199.08, 199.68, 197.36, 199.20, 199.20, 43904600
Jun 11 2025,  203.50, 204.50, 198.41, 198.78, 198.78, 60989900
Jun 10 2025,  200.60, 204.35, 200.57, 202.67, 202.67, 54672600
Jun 9 2025,  204.39, 206.00, 200.02, 201.45, 201.45, 72862600
Jun 6 2025,  203.00, 205.70, 202.05, 203.92, 203.92, 46607700
Jun 5 2025,  203.50, 204.75, 200.15, 200.63, 200.63, 55126100
Jun 4 2025,  202.91, 206.24, 202.10, 202.82, 202.82, 43604000
Jun 3 2025,  201.35, 203.77, 200.96, 203.27, 203.27, 46381600
Jun 2 2025,  200.28, 202.13, 200.12, 201.70, 201.70, 35423300
May 30 2025,  199.37, 201.96, 196.78, 200.85, 200.85, 70819900
May 29 2025,  203.58, 203.81, 198.51, 199.95, 199.95, 51396800
May 28 2025,  200.59, 202.73, 199.90, 200.42, 200.42, 45339700
May 27 2025,  198.30, 200.74, 197.43, 200.21, 200.21, 56288500
May 23 2025,  193.67, 197.70, 193.46, 195.27, 195.27, 78432900
May 22 2025,  200.71, 202.75, 199.70, 201.36, 201.36, 46742400
May 21 2025,  205.17, 207.04, 200.71, 202.09, 202.09, 59211800
May 20 2025,  207.67, 208.47, 205.03, 206.86, 206.86, 42496600
May 19 2025,  207.91, 209.48, 204.26, 208.78, 208.78, 46140500
May 16 2025,  212.36, 212.57, 209.77, 211.26, 211.26, 54737900
May 15 2025,  210.95, 212.96, 209.54, 211.45, 211.45, 45029500
May 14 2025,  212.43, 213.94, 210.58, 212.33, 212.33, 49325800
May 13 2025,  210.43, 213.40, 209.00, 212.93, 212.93, 51909300
May 12 2025,  210.97, 211.27, 206.75, 210.79, 210.79, 63775800
May 9 2025,  199.00, 200.54, 197.54, 198.53, 198.27, 36453900
May 8 2025,  197.72, 200.05, 194.68, 197.49, 197.23, 50478900
May 7 2025,  199.17, 199.44, 193.25, 196.25, 195.99, 68536700
May 6 2025,  198.21, 200.65, 197.02, 198.51, 198.25, 51216500
May 5 2025,  203.10, 204.10, 198.21, 198.89, 198.63, 69018500
May 2 2025,  206.09, 206.99, 202.16, 205.35, 205.08, 101010600
